timestamp,ip,method,url,status,response_time_ms,bytes,country
2024-01-16 07:16:50,85.214.33.7,GET,/about,200,507,9344,France
2024-01-16 03:51:22,85.214.33.7,POST,/api/users,200,111,6340,Germany
2024-01-15 16:28:15,192.168.1.10,POST,/logout,401,909,14646,Canada
2024-01-16 05:27:16,10.0.0.5,GET,/login,404,746,18410,USA
2024-01-15 15:50:21,78.33.21.9,GET,/products,404,248,23726,Tunisia
2024-01-16 05:58:51,10.0.0.5,GET,/api/orders,401,305,25007,France
2024-01-16 04:05:57,10.0.0.5,DELETE,/dashboard,404,1232,12801,France
2024-01-15 09:40:06,196.12.44.3,GET,/products,200,1824,6819,Spain
2024-01-15 18:07:14,200.1.2.3,DELETE,/contact,200,808,23483,Germany
2024-01-15 17:43:13,85.214.33.7,POST,/login,401,1543,16243,USA
2024-01-16 00:49:49,154.23.11.8,GET,/images/logo.png,200,1452,21452,Algeria
2024-01-15 16:20:21,192.168.1.10,GET,/api/users,301,185,14026,Tunisia
2024-01-15 15:44:29,200.1.2.3,POST,/api/orders,200,592,9350,Germany
2024-01-16 04:26:19,10.0.0.5,DELETE,/dashboard,404,1888,38442,Spain
2024-01-15 21:10:47,196.12.44.3,GET,/images/logo.png,500,236,49730,Algeria
2024-01-15 11:59:31,41.200.12.5,DELETE,/login,404,1271,4363,Spain
2024-01-15 21:53:39,200.1.2.3,POST,/about,401,1812,952,France
2024-01-16 03:33:01,10.0.0.5,DELETE,/contact,200,651,28692,USA
2024-01-16 00:31:10,192.168.1.10,DELETE,/about,401,1610,11908,France
2024-01-16 06:45:59,10.0.0.5,DELETE,/images/logo.png,403,457,10216,Tunisia
2024-01-15 13:52:54,192.168.1.10,POST,/contact,500,89,7531,Tunisia
2024-01-15 19:11:46,196.12.44.3,GET,/logout,403,1989,5361,France
2024-01-16 01:41:39,85.214.33.7,POST,/login,200,1401,31348,USA
2024-01-15 17:39:01,154.23.11.8,GET,/images/logo.png,200,1510,20628,Spain
2024-01-16 07:39:40,78.33.21.9,POST,/images/logo.png,500,297,16446,Germany
2024-01-15 10:19:52,78.33.21.9,GET,/dashboard,401,521,38764,Germany
2024-01-15 08:15:42,85.214.33.7,DELETE,/index.html,200,188,2258,Tunisia
2024-01-15 10:34:47,196.12.44.3,GET,/api/orders,200,1154,8871,Canada
2024-01-15 16:50:50,200.1.2.3,POST,/logout,200,248,43387,Spain
2024-01-15 20:53:58,154.23.11.8,POST,/api/orders,200,1429,43024,France
2024-01-15 10:12:24,154.23.11.8,DELETE,/contact,200,559,12756,Germany
2024-01-16 03:31:32,200.1.2.3,GET,/api/users,200,620,30518,Germany
2024-01-15 10:44:40,200.1.2.3,POST,/products,200,1385,35627,Algeria
2024-01-15 11:23:44,196.12.44.3,GET,/api/users,500,1035,14208,Spain
2024-01-15 10:08:05,41.200.12.5,POST,/index.html,404,593,30019,Morocco
2024-01-15 23:24:04,200.1.2.3,GET,/logout,301,495,4032,Algeria
2024-01-15 19:25:04,192.168.1.10,GET,/dashboard,500,1079,35007,USA
2024-01-15 10:04:15,85.214.33.7,GET,/products,403,189,44450,Germany
2024-01-15 22:42:03,85.214.33.7,POST,/logout,403,1267,2804,France
2024-01-15 23:15:48,78.33.21.9,GET,/logout,404,538,17607,Spain
2024-01-15 12:45:54,10.0.0.5,POST,/contact,200,69,30234,France
2024-01-15 10:40:02,196.12.44.3,POST,/about,200,1961,23072,France
2024-01-15 16:53:38,78.33.21.9,GET,/login,500,1757,35800,Morocco
2024-01-16 06:16:13,192.168.1.10,DELETE,/images/logo.png,301,1958,43675,France
2024-01-15 12:53:21,10.0.0.5,GET,/products,401,368,18048,Morocco
2024-01-16 06:01:16,196.12.44.3,DELETE,/contact,200,1457,41765,Morocco
2024-01-16 02:24:04,200.1.2.3,GET,/index.html,200,1349,27959,Morocco
2024-01-15 09:36:18,192.168.1.10,GET,/login,301,380,48777,Canada
2024-01-16 04:05:09,154.23.11.8,POST,/index.html,200,204,45486,USA
2024-01-16 03:51:51,192.168.1.10,GET,/dashboard,401,353,28366,USA
2024-01-15 09:31:22,10.0.0.5,GET,/index.html,404,480,44899,Germany
2024-01-15 11:44:33,78.33.21.9,POST,/api/users,403,1584,10328,Germany
